Rating,Review,Location
+,The food was absolutely delicious and the service was excellent!,Hungary
-,The wait time was too long and the food was cold when it arrived.,Hungary
+,Loved the ambiance and the staff was very friendly.,Hungary
-,The portions were too small for the price.,Spain
+,Great experience overall. will definitely come back!,Spain
-,The restaurant was too noisy and the tables were cramped.,Spain
+,Amazing desserts and a fantastic wine selection.,Spain
-,The service was slow and the waiter was rude.,England
+,Perfect place for a family dinner. everyone enjoyed their meals.,England
-,The menu was limited and the food was bland.,England
