+,Das Ambiente war sehr gemütlich.
+,Der Service war ausgezeichnet.
-,Der Kellner war unfreundlich.
+,Die Portionen waren sehr großzügig.
-,Die Wartezeit war viel zu lang.
+,Die Preise sind angemessen.
-,Das Restaurant war sehr laut.
+,Das Dessert war unglaublich lecker.
-,Die Getränke waren zu teuer.
+,Die Auswahl an Gerichten ist riesig.
-,Das Essen war viel zu salzig.
+,Die Weinempfehlung war perfekt.
-,Der Tisch war nicht sauber.
+,Es gibt eine schöne Terrasse.
-,Das Restaurant war zu voll.
+,Ich komme definitiv wieder.
-,Die Speisen waren kalt, als sie serviert wurden.
+,Die Bedienung war sehr aufmerksam.
-,Die Portionen waren zu klein.
+,Die Atmosphäre war sehr angenehm.
-,Das Restaurant hatte keine vegetarischen Optionen.
+,Die Musik im Hintergrund war sehr passend.
-,Das Essen war nicht frisch.
+,Ich habe noch nie so gutes Sushi gegessen.
-,Die Preise sind viel zu hoch für die Qualität.
+,Der Kellner war sehr hilfsbereit.
-,Die Stühle waren unbequem.
+,Das Restaurant hat eine tolle Aussicht.
-,Die Nachspeise war enttäuschend.
+,Es war ein tolles Erlebnis.
-,Ich war enttäuscht vom Service.
+,Das Restaurant ist ideal für ein romantisches Dinner.
-,Die Portionen kamen nicht gleichzeitig.
+,Ich habe selten so gut gegessen.
-,Die Getränke waren zu süß.
+,Die Pizzen waren hervorragend.
-,Das Restaurant war zu dunkel.
+,Die Atmosphäre war sehr einladend.
-,Die Auswahl an Weinen war begrenzt.
+,Das Restaurant hat eine tolle Auswahl an veganen Gerichten.
-,Der Kellner hat uns vergessen.
+,Der Preis war für die Qualität vollkommen in Ordnung.
-,Es war sehr schwierig, einen Tisch zu bekommen.
+,Die Speisekarte ist abwechslungsreich.
-,Das Fleisch war zäh und schlecht gewürzt.
+,Die Cocktails waren fantastisch.
-,Die Tischdekoration war sehr unattraktiv.
+,Die Gerichte sind frisch und gesund.
-,Es gab keine glutenfreien Optionen.
+,Das Restaurant hat eine angenehme Größe, nicht zu groß und nicht zu klein.
+,Das Essen war wirklich gut zubereitet.
+,Der Kellner war sehr freundlich und hilfsbereit.
-,Die Tische waren viel zu eng beieinander.
+,Die Weinkarte hatte viele interessante Optionen.
-,Die Musik war zu laut.
+,Der Service war schnell und effizient.
-,Die Portionen waren viel zu klein.
+,Das Restaurant hat eine gemütliche Atmosphäre.
-,Das Fleisch war viel zu durchgebraten.
+,Die Saucen waren hervorragend.
-,Die Speisekarte war schwer zu verstehen.
+,Das Ambiente war stilvoll und modern.
-,Der Kellner war nicht aufmerksam.
+,Das Restaurant ist sehr familienfreundlich.
-,Der Kaffee war viel zu bitter.
+,Die Gerichte sind sehr gut gewürzt.
-,Das Essen war zu fettig.
